name,team,pos,gms,pts,reb,ast,blk,stl,fg%,ft%,3p%,ftm,2pm,3pm,to,min,dd2,td3,fpts
Russell Westbrook,OKC,PG,80,1878,628,836,20,163,45.4,81.2,29.6,465,555,101,342,2749,54,18,3909.6
James Harden,HOU,PG,82,2376,502,612,51,138,43.9,86.0,36.0,720,474,236,374,3124,23,3,3900.4
Stephen Curry,GS,PG,79,2375,430,527,16,169,50.4,90.8,45.4,363,403,402,261,2700,15,2,3790.5
LeBron James,CLE,SF,76,1920,565,512,49,104,52.0,73.1,30.9,359,650,87,249,2708,28,3,3423.0
Kevin Durant,OKC,SF,72,2029,590,360,85,68,50.5,89.8,38.8,447,512,186,250,2577,27,1,3333.0
John Wall,WAS,PG,77,1531,378,790,59,145,42.4,79.1,35.2,272,457,115,318,2783,49,4,3259.6
Andre Drummond,DET,C,81,1314,1198,67,112,119,52.0,35.5,28.6,208,550,2,154,2665,66,0,3160.1
Draymond Green,GS,PF,81,1131,765,597,111,118,49.0,69.6,38.8,229,301,100,259,2808,32,13,3143.5
Paul George,IND,SF,81,1874,563,329,29,152,41.8,86.0,37.2,454,395,210,265,2818,15,0,3140.1
DeMarcus Cousins,SAC,C,65,1748,745,214,91,101,45.1,71.8,33.3,476,531,70,249,2245,47,1,3098.0
Chris Paul,LAC,PG,74,1446,310,738,13,151,46.2,89.6,37.1,294,393,122,193,2420,38,0,3060.0
Paul Millsap,ATL,PF,81,1385,733,264,140,148,47.0,75.7,31.9,309,427,74,191,2639,32,0,3045.6
Karl-Anthony Towns,MIN,C,82,1503,854,161,138,58,54.3,81.1,34.1,223,595,30,183,2626,50,0,2978.3
Kyle Lowry,TOR,PG,77,1634,365,494,34,158,42.7,81.1,38.8,398,300,212,225,2851,12,1,2972.0
Damian Lillard,POR,PG,75,1879,302,512,28,65,41.9,89.2,37.5,414,389,229,242,2676,15,0,2953.4
Kemba Walker,CHA,PG,81,1689,358,421,39,127,42.6,84.7,37.1,371,386,182,171,2885,3,0,2911.1
Isaiah Thomas,BOS,PG,82,1823,243,509,9,91,42.8,87.1,35.9,474,424,167,220,2644,7,0,2858.1
Giannis Antetokounmpo,MIL,PF,80,1350,613,347,113,94,50.7,72.4,25.5,296,485,28,208,2823,21,6,2812.1
Pau Gasol,CHI,C,72,1187,792,294,146,42,46.9,79.2,34.8,229,443,24,164,2291,46,2,2790.4
DeMar DeRozan,TOR,SG,78,1830,349,314,21,82,44.6,85.0,33.8,555,567,47,174,2803,3,0,2751.8
DeAndre Jordan,LAC,C,77,980,1059,90,176,52,70.6,43.0,0.0,266,357,0,107,2597,49,0,2734.8
Carmelo Anthony,NY,PF,72,1573,557,299,38,62,43.4,82.9,33.9,334,462,105,176,2529,22,0,2713.9
Anthony Davis,NO,PF,61,1481,627,116,125,78,49.3,75.8,32.4,326,525,35,121,2164,35,0,2692.4
Kawhi Leonard,SA,SF,72,1525,494,186,71,128,50.6,87.4,44.3,292,423,129,105,2379,12,0,2689.8
Rajon Rondo,SAC,PG,72,859,436,838,10,142,45.4,58.0,36.5,87,293,62,279,2536,37,7,2664.2
Al Horford,ATL,PF,82,1249,597,263,122,67,50.4,79.8,34.2,103,441,88,107,2634,17,0,2630.9
Hassan Whiteside,MIA,C,73,1038,865,30,269,44,60.5,65.0,,214,412,0,137,2125,41,3,2610.0
Brook Lopez,BKN,C,73,1501,574,147,124,58,51.1,78.7,14.3,317,589,2,175,2456,26,0,2599.3
Gordon Hayward,UTA,SF,80,1578,397,296,27,95,43.3,82.4,34.9,393,378,143,202,2892,4,0,2540.4
CJ McCollum,POR,SG,80,1666,259,341,24,97,44.8,82.7,41.6,187,444,197,196,2780,2,0,2534.3
Jimmy Butler,CHI,SG,67,1399,359,321,43,110,45.5,83.2,31.1,395,406,64,132,2473,10,2,2485.3
Kevin Love,CLE,PF,77,1234,762,187,41,58,41.8,82.2,36.0,258,251,158,142,2424,35,0,2484.9
Klay Thompson,GS,SG,80,1771,306,166,50,60,47.0,87.3,42.6,193,375,276,138,2666,0,0,2469.2
Greg Monroe,MIL,C,79,1210,696,179,67,72,52.2,74.0,0.0,228,491,0,130,2314,32,0,2461.7
Reggie Jackson,DET,PG,79,1489,253,492,11,59,43.4,86.4,35.3,291,422,118,223,2424,9,0,2447.6
Khris Middleton,MIL,SF,79,1434,301,331,19,131,44.3,88.8,39.5,277,364,143,180,2852,1,0,2411.7
LaMarcus Aldridge,SA,PF,74,1331,631,110,81,38,51.3,85.8,0.0,259,536,0,99,2260,26,0,2392.2
Andrew Wiggins,MIN,SF,81,1675,294,164,46,78,45.9,76.1,30.0,430,537,57,182,2845,1,0,2339.8
Dwyane Wade,MIA,SG,74,1409,302,344,42,79,45.6,79.3,15.9,322,533,7,203,2258,2,0,2326.4
Dwight Howard,HOU,C,71,976,835,98,113,69,61.9,48.9,0.0,232,372,0,166,2279,38,0,2323.0
Ricky Rubio,MIN,PG,76,766,326,657,10,162,37.4,84.7,32.6,266,157,62,194,2322,14,0,2292.7
Dirk Nowitzki,DAL,PF,75,1372,489,132,52,52,44.8,89.3,36.8,250,372,126,84,2363,10,0,2280.8
Nikola Vucevic,ORL,C,65,1181,572,179,70,54,51.0,75.3,22.2,113,531,2,123,2036,29,0,2260.9
Thaddeus Young,BKN,PF,73,1102,661,135,37,112,51.4,64.4,23.3,105,488,7,136,2407,29,0,2259.7
Jeff Teague,ATL,PG,79,1239,213,470,24,98,44.0,83.7,40.1,261,324,110,218,2246,4,0,2225.6
Marcin Gortat,WAS,C,75,1012,740,106,95,47,56.7,70.5,0.0,146,433,0,121,2255,40,0,2222.0
Monta Ellis,IND,SG,81,1121,272,382,38,149,42.7,78.6,31.0,162,349,87,203,2734,1,0,2191.4
Victor Oladipo,ORL,SG,72,1153,348,282,54,116,43.9,83.0,35.0,205,327,98,153,2379,3,1,2180.6
Nicolas Batum,CHA,SG,70,1046,428,403,43,65,42.7,84.9,34.8,163,233,139,205,2447,11,2,2175.1
