name,team,pos,gms,pts,reb,ast,blk,stl,fg%,ft%,3p%,ftm,2pm,3pm,to,min,dd2,td3,fpts
LeBron James,CLE,SF,82,2251,710,747,71,116,54.2,73.1,36.7,388,708,149,348,3025,52,18,4249.5
Russell Westbrook,OKC,PG,80,2028,804,820,20,147,44.9,73.7,29.8,417,660,97,382,2913,59,25,4174.8
Anthony Davis,NO,PF,75,2110,832,174,193,115,53.4,82.8,34.0,495,725,55,162,2727,50,1,3823.4
Giannis Antetokounmpo,MIL,PF,75,2014,754,360,106,109,52.9,76.0,30.7,487,699,43,224,2756,42,1,3664.8
James Harden,HOU,PG,72,2191,388,629,50,126,44.9,85.8,36.7,624,386,265,315,2548,31,4,3637.1
Karl-Anthony Towns,MIN,C,82,1743,1013,199,115,64,54.6,85.8,42.1,345,519,120,160,2918,68,0,3455.1
Andre Drummond,DET,C,78,1171,1248,237,129,114,52.8,60.5,0.0,239,466,0,202,2625,62,0,3308.1
Ben Simmons,PHI,PG,81,1279,659,661,70,140,54.5,56.0,0.0,191,544,0,278,2732,38,12,3203.3
Nikola Jokic,DEN,C,75,1385,802,459,61,90,50.0,85.0,39.6,266,393,111,210,2441,38,10,3127.9
Damian Lillard,POR,PG,73,1962,325,481,27,78,43.9,91.6,36.1,493,394,227,205,2669,11,0,3078.5
Kevin Durant,GS,SF,68,1792,464,366,119,50,51.6,88.9,41.9,359,457,173,207,2325,15,2,3028.8
Victor Oladipo,IND,SG,75,1735,390,323,57,176,47.7,79.9,37.1,294,479,161,220,2552,3,0,2933.5
Bradley Beal,WAS,SG,82,1857,363,373,36,97,46.0,79.1,37.5,292,484,199,214,2977,4,0,2904.1
DeMar DeRozan,TOR,SG,80,1840,315,417,22,85,45.6,82.5,31.0,461,556,89,175,2711,0,0,2882.5
LaMarcus Aldridge,SA,PF,75,1735,634,152,90,43,51.0,83.7,29.3,334,660,27,112,2508,27,0,2877.8
Dwight Howard,CHA,C,81,1347,1012,105,131,47,55.5,57.4,14.3,334,505,1,208,2463,54,0,2866.9
Jrue Holiday,NO,PG,81,1537,366,486,64,122,49.4,78.6,33.7,187,495,120,213,2926,8,1,2864.2
Paul George,OKC,SF,79,1734,447,263,39,161,43.0,82.2,40.1,338,332,244,212,2890,4,0,2852.9
Kemba Walker,CHA,PG,80,1770,248,444,25,92,43.1,86.4,38.4,363,357,231,179,2735,3,0,2788.6
Khris Middleton,MIL,SF,82,1652,428,328,21,119,46.7,88.4,36.0,320,447,146,191,2981,5,1,2746.6
Joel Embiid,PHI,C,63,1445,690,199,111,40,48.3,76.9,30.8,359,444,66,234,1911,38,0,2639.5
Lou Williams,LAC,SG,79,1782,198,417,19,85,43.5,88.0,35.9,432,396,186,234,2589,7,0,2619.1
Kyle Lowry,TOR,PG,78,1267,434,537,19,85,42.7,85.4,39.9,223,165,238,183,2509,23,3,2618.3
CJ McCollum,POR,SG,81,1732,321,272,35,77,44.3,83.6,39.7,209,478,189,152,2923,1,0,2597.2
DeAndre Jordan,LAC,C,77,927,1171,117,69,39,64.8,58.0,,181,373,0,138,2424,46,0,2585.7
Marc Gasol,MEM,C,73,1258,592,305,101,54,42.0,83.4,34.1,281,325,109,194,2408,25,1,2541.9
Donovan Mitchell,UTA,SG,79,1616,296,291,27,118,43.7,80.5,34.0,239,408,187,217,2637,0,0,2480.7
DeMarcus Cousins,NO,C,48,1210,618,257,76,80,47.0,74.6,35.4,294,302,104,242,1737,38,3,2407.1
Tobias Harris,LAC,SF,80,1486,436,192,35,71,46.0,82.9,41.1,179,379,183,104,2667,3,0,2405.2
Julius Randle,LAL,PF,82,1323,654,210,45,43,55.8,71.8,22.2,305,494,10,213,2190,28,1,2385.8
Clint Capela,HOU,C,74,1026,802,68,138,58,65.2,56.0,0.0,144,441,0,103,2034,42,0,2379.4
Eric Bledsoe,MIL,PG,74,1313,285,370,42,148,47.3,79.5,34.7,252,343,125,216,2321,3,1,2374.0
Will Barton,DEN,SG,81,1268,409,331,51,82,45.2,80.5,36.9,182,309,156,149,2682,2,0,2372.3
Jusuf Nurkic,POR,C,79,1132,708,143,111,64,50.5,63.0,0.0,172,480,0,183,2088,27,0,2363.1
Draymond Green,GS,PF,70,773,535,509,91,95,45.4,77.5,30.1,134,204,77,202,2286,23,3,2348.5
Jimmy Butler,MIN,SG,59,1307,315,288,24,116,47.4,85.4,35.0,363,367,70,108,2164,3,0,2289.0
Andrew Wiggins,MIN,SF,82,1452,358,160,52,91,43.8,64.3,33.1,202,457,112,138,2978,1,0,2269.6
Harrison Barnes,DAL,SF,77,1452,468,152,14,49,44.5,82.7,35.7,259,418,119,118,2635,8,0,2249.6
Chris Paul,HOU,PG,58,1081,313,458,14,96,46.0,91.9,38.0,203,223,144,128,1846,14,1,2235.6
Steven Adams,OKC,C,76,1056,685,88,78,92,62.9,55.9,0.0,160,448,0,128,2486,28,0,2222.0
