Date,Start Time,Home,Home Points,Visitor,Visitor Points,Winner,Attendance
"Tue, Oct 22, 2019",8:00p,Toronto Raptors,130,New Orleans Pelicans,122,Toronto Raptors,"20,787"
"Tue, Oct 22, 2019",10:30p,Los Angeles Clippers,112,Los Angeles Lakers,102,Los Angeles Clippers,"19,068"
"Wed, Oct 23, 2019",7:00p,Charlotte Hornets,126,Chicago Bulls,125,Charlotte Hornets,"15,424"
"Wed, Oct 23, 2019",7:00p,Indiana Pacers,110,Detroit Pistons,119,Detroit Pistons,"17,923"
"Wed, Oct 23, 2019",7:00p,Orlando Magic,94,Cleveland Cavaliers,85,Orlando Magic,"18,846"
"Wed, Oct 23, 2019",7:30p,Brooklyn Nets,126,Minnesota Timberwolves,127,Minnesota Timberwolves,"17,732"
"Wed, Oct 23, 2019",7:30p,Miami Heat,120,Memphis Grizzlies,101,Miami Heat,"19,600"
"Wed, Oct 23, 2019",7:30p,Philadelphia 76ers,107,Boston Celtics,93,Philadelphia 76ers,"20,422"
"Wed, Oct 23, 2019",8:30p,Dallas Mavericks,108,Washington Wizards,100,Dallas Mavericks,"19,816"
"Wed, Oct 23, 2019",8:30p,San Antonio Spurs,120,New York Knicks,111,San Antonio Spurs,"18,354"
"Wed, Oct 23, 2019",9:00p,Utah Jazz,100,Oklahoma City Thunder,95,Utah Jazz,"18,306"
"Wed, Oct 23, 2019",10:00p,Phoenix Suns,124,Sacramento Kings,95,Phoenix Suns,"18,055"
"Wed, Oct 23, 2019",10:00p,Portland Trail Blazers,100,Denver Nuggets,108,Denver Nuggets,"19,991"
"Thu, Oct 24, 2019",7:00p,Detroit Pistons,100,Atlanta Hawks,117,Atlanta Hawks,"20,338"
"Thu, Oct 24, 2019",8:00p,Houston Rockets,111,Milwaukee Bucks,117,Milwaukee Bucks,"18,055"
"Thu, Oct 24, 2019",10:30p,Golden State Warriors,122,Los Angeles Clippers,141,Los Angeles Clippers,"18,064"
"Fri, Oct 25, 2019",7:00p,Boston Celtics,112,Toronto Raptors,106,Boston Celtics,"18,624"
"Fri, Oct 25, 2019",7:00p,Charlotte Hornets,99,Minnesota Timberwolves,121,Minnesota Timberwolves,"14,879"
"Fri, Oct 25, 2019",7:30p,Brooklyn Nets,113,New York Knicks,109,Brooklyn Nets,"17,732"
"Fri, Oct 25, 2019",8:00p,Memphis Grizzlies,102,Chicago Bulls,110,Chicago Bulls,"17,794"
"Fri, Oct 25, 2019",8:00p,New Orleans Pelicans,116,Dallas Mavericks,123,Dallas Mavericks,"17,027"
"Fri, Oct 25, 2019",8:00p,Oklahoma City Thunder,85,Washington Wizards,97,Washington Wizards,"18,203"
"Fri, Oct 25, 2019",9:00p,Denver Nuggets,108,Phoenix Suns,107,Denver Nuggets,"19,557"
"Fri, Oct 25, 2019",10:00p,Sacramento Kings,112,Portland Trail Blazers,122,Portland Trail Blazers,"17,583"
"Fri, Oct 25, 2019",10:30p,Los Angeles Lakers,95,Utah Jazz,86,Los Angeles Lakers,"18,997"
"Sat, Oct 26, 2019",5:00p,Milwaukee Bucks,126,Miami Heat,131,Miami Heat,"17,467"
"Sat, Oct 26, 2019",7:00p,Detroit Pistons,111,Philadelphia 76ers,117,Philadelphia 76ers,"16,207"
"Sat, Oct 26, 2019",7:30p,Atlanta Hawks,103,Orlando Magic,99,Atlanta Hawks,"17,078"
"Sat, Oct 26, 2019",7:30p,New York Knicks,95,Boston Celtics,118,Boston Celtics,"19,812"
"Sat, Oct 26, 2019",8:00p,Chicago Bulls,84,Toronto Raptors,108,Toronto Raptors,"21,498"
"Sat, Oct 26, 2019",8:00p,Cleveland Cavaliers,110,Indiana Pacers,99,Cleveland Cavaliers,"19,432"
"Sat, Oct 26, 2019",8:00p,Houston Rockets,126,New Orleans Pelicans,123,Houston Rockets,"18,055"
"Sat, Oct 26, 2019",8:30p,San Antonio Spurs,124,Washington Wizards,122,San Antonio Spurs,"18,354"
"Sat, Oct 26, 2019",9:00p,Utah Jazz,113,Sacramento Kings,81,Utah Jazz,"18,306"
"Sat, Oct 26, 2019",10:00p,Phoenix Suns,130,Los Angeles Clippers,122,Phoenix Suns,"15,802"
"Sun, Oct 27, 2019",3:30p,Oklahoma City Thunder,120,Golden State Warriors,92,Oklahoma City Thunder,"18,203"
"Sun, Oct 27, 2019",6:00p,Memphis Grizzlies,134,Brooklyn Nets,133,Memphis Grizzlies,"15,517"
"Sun, Oct 27, 2019",7:00p,Dallas Mavericks,119,Portland Trail Blazers,121,Portland Trail Blazers,"19,707"
