name,team,pos,gms,pts,reb,ast,blk,stl,fg%,ft%,3p%,ftm,2pm,3pm,to,min,dd2,td3,fpts
Russell Westbrook,OKC,PG,81,2558,864,840,31,134,42.5,84.5,34.3,710,624,200,438,2801,62,42,4746.8
James Harden,HOU,PG,81,2356,660,906,38,123,44.0,84.7,34.7,746,412,262,464,2947,64,22,4365.0
Anthony Davis,NO,PF,75,2099,887,157,167,97,50.5,80.2,29.9,519,730,40,181,2707,50,0,3745.9
Karl-Anthony Towns,MIN,C,82,2061,1007,220,103,58,54.2,83.2,36.7,356,701,101,212,3030,62,1,3709.4
LeBron James,CLE,SF,74,1954,641,647,44,92,54.8,67.4,36.3,358,612,124,302,2794,42,13,3663.7
Giannis Antetokounmpo,MIL,PF,80,1832,697,435,151,132,52.2,77.0,27.2,471,607,49,234,2845,32,3,3652.9
John Wall,WAS,PG,78,1805,329,831,50,159,45.1,80.1,32.7,422,558,89,323,2835,50,0,3541.3
DeMarcus Cousins,NO,C,72,1942,799,333,93,99,45.2,77.2,36.0,517,516,131,269,2465,46,2,3515.3
Stephen Curry,GS,PG,79,1999,354,522,17,144,46.7,89.8,41.0,325,351,324,238,2638,10,0,3290.8
Jimmy Butler,CHI,SG,76,1816,470,417,31,143,45.5,86.5,36.7,585,479,91,159,2808,15,2,3194.5
Damian Lillard,POR,PG,75,2024,368,439,20,69,44.4,89.5,37.0,488,447,214,196,2693,11,0,3106.1
Isaiah Thomas,BOS,PG,76,2199,205,448,12,70,46.3,90.9,37.9,590,437,245,209,2568,5,0,3072.0
Kawhi Leonard,SA,SF,74,1888,429,260,55,131,48.5,88.0,38.0,469,489,147,154,2474,9,0,3010.8
Hassan Whiteside,MIA,C,77,1309,1089,57,162,56,55.7,62.8,,225,542,0,154,2513,58,0,2983.3
DeMar DeRozan,TOR,SG,74,2020,387,290,13,75,46.7,84.2,26.6,545,688,33,180,2620,5,0,2915.4
Rudy Gobert,UTA,C,81,1137,1036,98,214,49,66.3,65.3,0.0,311,413,0,147,2743,56,0,2906.2
Kemba Walker,CHA,PG,79,1830,311,435,20,86,44.4,84.7,39.9,304,403,240,168,2739,8,0,2899.7
Andre Drummond,DET,C,81,1103,1114,89,89,124,53.0,38.6,28.6,137,480,2,154,2409,49,0,2845.3
Kevin Durant,GS,SF,62,1555,513,301,99,66,53.7,87.5,37.5,336,434,117,138,2070,23,1,2814.1
Paul George,IND,SF,75,1775,492,251,26,118,46.1,89.8,39.3,336,427,195,219,2689,11,0,2810.9
DeAndre Jordan,LAC,C,81,1029,1115,96,135,50,71.4,48.2,0.0,205,412,0,117,2570,41,0,2764.0
Kyrie Irving,CLE,PG,72,1816,227,419,23,83,47.3,90.5,40.1,297,494,177,178,2524,8,0,2750.9
Nikola Jokic,DEN,C,73,1221,718,360,54,62,57.8,82.5,32.4,188,449,45,170,2037,39,6,2684.6
Marc Gasol,MEM,C,74,1446,462,338,98,68,45.9,83.7,38.8,278,428,104,165,2531,10,2,2674.4
CJ McCollum,POR,SG,80,1837,293,285,42,72,48.0,91.2,42.0,268,507,185,172,2795,1,0,2672.1
Jeff Teague,IND,PG,82,1254,331,638,32,101,44.2,86.7,35.7,360,312,90,216,2657,16,0,2658.2
Andrew Wiggins,MIN,SF,82,1933,328,190,30,82,45.2,76.0,35.6,412,606,103,188,3048,1,0,2647.6
Draymond Green,GS,PF,76,776,599,532,105,154,41.8,70.9,30.8,151,191,81,184,2470,17,5,2626.8
