name,team,pos,gms,pts,reb,ast,blk,stl,fg%,ft%,3p%,ftm,2pm,3pm,to,min,dd2,td3,fpts
Nikola Jokic,DEN,C,72,1898,780,599,48,95,56.6,86.8,38.8,342,640,92,223,2488,60,16,3795.5
Russell Westbrook,WAS,PG,65,1445,750,763,23,89,43.9,65.6,31.5,271,458,86,312,2368,59,38,3401.5
Luka Doncic,DAL,PG,66,1830,527,567,36,64,47.9,73.0,35.0,344,455,192,281,2262,26,11,3231.9
Julius Randle,NY,PF,71,1712,723,427,18,64,45.6,81.1,41.1,348,442,160,241,2666,41,6,3143.1
Giannis Antetokounmpo,MIL,PF,61,1717,671,357,73,72,56.9,68.5,30.3,398,559,67,207,2006,41,7,3140.7
Nikola Vucevic,CHI,C,70,1639,818,269,48,65,47.7,84.0,39.9,131,490,176,126,2348,48,2,3124.1
Damian Lillard,POR,PG,68,1926,283,505,17,62,45.1,92.7,39.1,447,327,275,203,2398,16,0,2978.1
Stephen Curry,GS,PG,63,2015,345,363,8,77,48.2,91.6,42.1,362,321,337,213,2151,8,0,2930.5
Domantas Sabonis,IND,C,62,1260,742,415,33,76,53.5,73.2,32.1,240,432,52,213,2231,48,9,2777.9
Jayson Tatum,BOS,SF,64,1692,472,276,31,75,45.9,86.8,38.6,295,418,187,171,2289,15,1,2713.4
Trae Young,ATL,PG,63,1594,245,594,12,53,43.8,88.6,34.3,484,351,136,261,2124,28,0,2648.0
Rudy Gobert,UTA,C,71,1015,962,89,190,40,67.5,62.3,0.0,233,391,0,118,2186,49,0,2644.9
Bradley Beal,WAS,SG,61,1878,283,265,22,69,48.5,88.9,34.9,408,540,130,187,2147,4,0,2610.1
Zion Williamson,NO,PF,61,1647,441,226,39,57,61.1,69.8,29.4,369,624,10,167,2025,14,0,2540.2
Chris Paul,PHO,PG,70,1149,311,622,19,99,49.9,93.4,39.5,169,337,102,156,2199,25,1,2535.2
Bam Adebayo,MIA,C,64,1197,573,346,66,75,57.0,79.9,25.0,283,454,2,169,2142,33,2,2516.6
Khris Middleton,MIL,SF,68,1385,406,370,9,74,47.6,89.8,41.4,212,360,151,178,2272,10,0,2415.2
Devin Booker,PHO,SG,67,1712,281,289,16,53,48.4,86.7,34.0,340,497,126,207,2270,1,0,2413.7
Joel Embiid,PHI,C,51,1451,538,145,69,50,51.3,85.9,37.7,471,403,58,159,1585,30,0,2393.1
Clint Capela,ATL,C,64,956,903,49,129,44,59.4,57.3,,130,413,0,73,1899,48,1,2386.1
De'Aaron Fox,SAC,PG,58,1461,203,417,27,87,47.7,71.9,32.2,300,426,103,174,2036,11,0,2384.1
Kyrie Irving,BKN,PG,54,1451,257,324,37,76,50.6,92.2,40.2,201,397,152,130,1876,8,0,2341.4
Terry Rozier,CHA,PG,69,1407,302,293,26,87,45.0,81.7,38.9,165,288,222,128,2383,5,0,2306.9
Zach LaVine,CHI,SG,58,1591,289,282,27,46,50.7,84.9,41.9,253,369,200,203,2033,3,0,2303.8
DeMar DeRozan,SA,SG,61,1316,259,422,15,56,49.5,88.0,25.7,387,436,19,119,2056,13,0,2282.8
Dejounte Murray,SA,PG,67,1051,473,363,7,101,45.3,79.1,31.7,106,378,63,117,2139,13,4,2262.1
Brandon Ingram,NO,SF,61,1450,299,296,36,42,46.6,87.8,38.1,281,370,143,153,2092,4,0,2255.8
