name,team,pos,gms,pts,reb,ast,blk,stl,fg%,ft%,3p%,ftm,2pm,3pm,to,min,dd2,td3,fpts
Kevin Durant,OKC,SF,81,2593,598,445,59,103,50.3,87.3,39.1,703,657,192,285,3121,27,3,4017.1
Kevin Love,MIN,PF,77,2010,963,341,35,59,45.7,82.1,37.6,520,460,190,195,2796,65,3,3670.1
LeBron James,MIA,SF,77,2089,533,489,26,121,56.7,75.0,37.9,439,651,116,270,2901,12,1,3486.1
Blake Griffin,LAC,PF,80,1930,757,309,51,92,52.8,71.5,27.3,482,706,12,224,2863,43,1,3363.9
Carmelo Anthony,NY,PF,77,2112,622,242,51,95,45.2,84.8,40.2,459,576,167,198,2981,22,0,3315.4
Stephen Curry,GS,PG,78,1873,334,666,14,127,47.1,88.5,42.4,308,391,261,294,2845,28,4,3260.8
John Wall,WAS,PG,82,1583,333,721,40,149,43.3,80.5,35.1,317,471,108,295,2979,29,2,3147.1
DeMarcus Cousins,SAC,C,71,1614,831,207,91,109,49.6,72.6,0.0,432,591,0,251,2297,53,0,3070.7
Joakim Noah,CHI,C,80,1007,900,431,121,99,47.5,73.7,0.0,247,380,0,194,2819,47,4,2979.5
James Harden,HOU,PG,73,1851,344,446,29,115,45.6,86.6,36.6,576,372,177,265,2777,14,1,2955.8
Al Jefferson,CHA,C,73,1594,792,155,79,67,50.9,69.0,20.0,191,697,3,124,2553,42,0,2944.9
Paul George,IND,SF,80,1737,542,283,22,151,42.4,86.4,36.4,401,395,182,224,2898,12,1,2933.9
LaMarcus Aldridge,POR,PF,69,1603,766,178,68,63,45.8,82.2,20.0,296,649,3,123,2498,40,0,2928.2
Kyle Lowry,TOR,PG,79,1417,369,586,15,121,42.3,81.3,38.0,313,267,190,194,2861,18,2,2816.8
Anthony Davis,NO,PF,67,1394,673,105,189,89,51.9,79.1,22.2,348,520,2,109,2357,36,0,2806.1
Andre Drummond,DET,C,81,1095,1071,35,131,101,62.3,41.8,0.0,137,479,0,110,2619,57,0,2786.7
Dirk Nowitzki,DAL,PF,80,1735,498,216,45,73,49.7,89.9,39.8,338,502,131,117,2628,6,0,2775.6
DeAndre Jordan,LAC,C,82,856,1114,74,203,80,67.6,42.8,,160,348,0,123,2867,42,0,2746.8
DeMar DeRozan,TOR,SG,79,1791,343,313,28,86,42.9,82.4,30.5,519,540,64,176,3016,2,0,2724.1
Damian Lillard,POR,PG,82,1695,288,457,22,64,42.4,87.1,39.4,371,335,218,193,2936,6,0,2705.1
Monta Ellis,DAL,SG,82,1560,295,471,23,141,45.1,78.8,33.0,339,507,69,264,3022,6,0,2684.5
Dwight Howard,HOU,C,71,1297,866,131,128,60,59.1,54.7,28.6,349,471,2,229,2396,47,0,2679.7
Chris Paul,LAC,PG,62,1185,268,663,4,154,46.7,85.5,36.8,295,328,78,145,2171,39,0,2672.1
Paul Millsap,ATL,PF,74,1328,627,232,78,129,46.1,73.1,35.8,286,407,76,185,2481,30,1,2657.4
